LE__,1.85750,42.10222
LFBE,0.52056,44.82444
GLD,6.60833,50.97694
LE__,1.76222,42.05444
LIME,9.70028,45.66889
EDKF,7.70722,51.05194
GLD,10.37056,52.66972
EDDT,13.28778,52.55972
LFPD,0.56583,49.10278
LSZB,7.49806,46.91361
GLD,9.72972,48.57306
LF__,1.10111,46.05000
LFNR,5.17778,43.53778
EDDB,13.52056,52.37861
EBBX,5.22389,49.89167
ED__,8.02972,47.80472
LFQM,6.08389,47.20667
LFSA,6.08333,47.27361
ED__,8.41278,48.59917
LF__,-0.55139,47.77778
ED__,8.42167,48.58778
LF__,3.57222,49.58750
LE__,-2.07639,40.54000
EDKI,7.83028,50.81694
EGNY,-0.36139,53.89833
EG__,-4.09000,50.47500
LSGB,6.98639,46.25834
LFPF,1.90806,48.84361
LFMU,3.35333,43.32333
LFBZ,-1.53111,43.46833
EDMB,9.76333,48.11167
LF__,1.61833,44.74389
EGDD,-1.13194,51.91667
GLD,5.67417,52.42916
EG__,-1.84917,52.13861
EDLI,8.54472,51.96472
LSZP,7.29000,47.08917
LILE,8.10278,45.49528
EPBA,19.00194,49.80500
EDOI,12.74528,52.66222
EGKB,0.03250,51.33083
LQBI,15.90361,44.79611
LEBB,-2.91083,43.30111
LF__,5.61111,49.32500
LE__,0.25472,41.85361
EDSI,8.72028,47.79945
LF__,0.40861,43.67750
EGBB,-1.74806,52.45389
LSZF,8.23389,47.44361
LFBS,-1.13139,44.36945
GLD,10.28333,50.43222
GLD,9.47611,52.07889
LZ__,18.52333,48.66555
EDRB,6.56500,49.94528
LF__,7.45083,49.06028
LDZJ,16.83583,45.86083
EGLK,-0.84750,51.32389
EGNH,-3.02861,53.77167
LK__,13.79694,49.43083
EDMC,9.79750,48.41972
EDWT,8.53944,53.53917
LFOQ,1.20583,47.67972
EDVF,9.11111,51.91722
LO__,9.83917,47.14361
LI__,10.13639,45.38778
EDSL,8.56528,47.84444
LI__,9.33528,44.77917
GLD,10.14417,53.51472
ED__,11.16833,53.48611
LI__,10.75861,46.12111
LO__,12.22750,47.51611
LO__,15.11667,47.57750
EGLA,-4.66583,50.49972
EDOE,12.36833,51.21611
LF__,-0.21361,43.24556
ED__,8.53472,48.22778
EG__,-0.65861,50.80167
GLD,7.90417,53.41833
GLD,8.38667,47.65083
EDXD,8.32806,52.35111
ED__,7.94889,48.50195
LKBO,17.29500,49.67056
LF__,1.14056,43.34361
LF__,1.71500,48.30667
LZTR,17.52639,48.45583
LK__,16.83722,48.96250
LIPE,11.29694,44.53083
LIPB,11.32639,46.46028
LF__,2.99056,49.27806
LF__,2.82333,47.55917
EDKB,7.16278,50.76889
LF__,5.29167,43.83333
LF__,6.38611,46.07806
LF__,0.37194,49.26361
EDNQ,10.33417,48.84833
LFCS,-0.59639,44.70028
LF__,-0.29000,43.23695
LFBD,-0.71528,44.82861
LF__,-0.80972,44.85028
LK__,14.65694,50.21139
GLD,7.45194,52.15028
LK__,16.59361,49.43611
ED__,12.84722,52.23389
EDLB,7.28806,51.78000
EDLY,6.81528,51.85305
EDWR,6.71611,53.59417
LI__,10.35861,46.45778
EP__,17.94417,53.95167
LI__,8.59167,45.70722
LI__,9.71722,44.46361
LI__,9.72194,44.22694
LFDY,-0.48000,44.87722
ED__,11.41667,47.81667
EGDM,-1.74722,51.15222
EDGT,8.46083,50.79472
LF__,4.17750,44.01000
EB__,5.06833,49.86666
LF__,1.08111,44.30778
LF__,6.03194,45.06417
LF__,5.74306,47.97167
LFHS,5.29167,46.20167
LFLD,2.37111,47.06111
EGHH,-1.84250,50.78000
EGSN,-0.04250,52.21056
LF__,0.71889,47.08333
LF__,1.96667,44.10750
LF__,2.39444,43.72805
LF__,6.22111,48.76611
LF__,4.13667,49.08222
LJBO,13.54861,46.32861
GLD,-2.21972,50.70806
LF__,2.74778,44.47805
GLD,12.11611,47.73889
LDSB,16.67972,43.28583
ED__,12.65583,51.32806
ED__,9.20250,51.73889
LO__,12.32333,47.26111
LO__,12.34944,47.27056
LD__,18.54417,45.48722
EDBE,12.59306,52.43694
EBBT,4.50250,51.34472
LZIB,17.21278,48.17000
GLD,8.39306,50.52555
EDVE,10.55444,52.31917
LF__,3.27361,48.43195
LF__,2.88611,48.55389
LKBA,16.89250,48.79000
LO__,9.61750,47.28944
ED__,8.98556,54.63334
EG__,-0.90667,53.80667
EDGB,8.16972,50.67694
EDDW,8.78694,53.04750
EDTG,7.61750,47.90333
EDWB,8.57306,53.50694
LI__,10.31250,45.96944
GLD,-4.14528,50.59222
LK__,16.23278,49.33833
LIPO,10.33056,45.42889
LSZQ,7.02889,47.39250
LFRB,-4.42167,48.44722
LF__,0.14639,43.89194
LFPY,2.33222,48.59611
LF__,-0.66472,46.66083
LJ__,14.39722,46.01667
LFEI,2.78194,47.61444
ED__,13.76583,52.05305
LF__,4.47056,48.43056
LFFN,4.48222,48.42972
LF__,1.12389,46.35611
EDKO,8.64194,51.40250
LIBR,17.94806,40.66056
LFHR,3.36111,45.32000
EGTG,-2.59083,51.51944
EGGD,-2.71917,51.38278
LFBV,1.47444,45.14972
LI__,11.65333,46.70694
EGVN,-1.58361,51.75000
ED__,14.05861,51.28333
LKTB,16.69389,49.15139
LE__,-4.02389,40.39695
GLD,7.65167,53.48139
LD__,18.58444,45.67833
ED__,12.32972,51.49805
LD__,18.48667,45.53972
EDBQ,13.96361,51.67194
EGNB,-0.56639,53.71972
LKBR,16.34278,50.56194
LF__,5.51333,47.33556
EDTC,8.56361,49.13528
LF__,0.73111,43.83472
LO__,15.20806,47.40944
LO__,15.52667,48.68945
EG__,-1.13222,52.49139
LF__,1.65889,44.08222
LO__,15.04167,47.65000
EBBR,4.48444,50.90139
GLD,-3.35583,53.27028
LKBU,14.17806,49.97445
LF__,5.86667,47.42056
GLD,10.25250,50.44833
LO__,11.75833,47.37583
LHBS,18.98056,47.45111
LHBP,19.26167,47.43917
LI__,9.32778,40.57278
LD__,18.31250,45.45833
ETSB,7.06333,50.17389
GLD,9.01778,52.25083
ETHB,9.08222,52.27833
LH__,16.73333,47.36666
EB__,6.27639,50.41500
GLD,9.01417,52.25361
GLD,8.58056,51.54278
LS__,9.07083,47.37028
ED__,8.26000,48.52500
LE__,-3.63833,40.98555
LK__,17.21278,50.21389
GLD,7.79389,49.09389
LFFB,2.42444,48.35028
LSZC,8.39694,46.97445
LK__,14.03528,50.00861
EDBG,11.85611,52.24166
EDQE,11.13389,49.79417
LEBG,-3.62083,42.35750
ED__,12.82250,50.91222
ED__,11.03361,48.69194
GLD,-1.08389,53.74361
ED__,10.77889,49.83833
LI__,7.66528,45.31083
LDZB,16.12444,45.64750
LI__,10.05861,44.99333
EB__,6.18333,50.48472
LSZU,8.30250,47.26472
GLD,8.61944,50.43583
LF__,0.67000,46.94889
EB__,4.38167,50.54333
LF__,1.60472,43.76833
EPBY,17.97778,53.09667
LK__,14.26722,50.82583
LE__,0.02528,40.17194
LZ__,18.00500,48.38861
LF__,-0.57639,44.61417
LF__,1.59250,44.51472
LD__,17.85028,45.73000
LS__,6.96333,46.62333
LFRK,-0.45000,49.17333
EGCK,-4.34028,53.10417
LFCC,1.47861,44.35056
LF__,6.74472,43.77806
LF__,6.74556,43.77806
LDVC,16.50028,46.39194
LE__,1.55806,41.74445
LFAC,1.95139,50.96083
LECH,-1.30417,40.90000
LILC,8.76806,45.80972
LI__,10.35000,45.46333
LF__,2.06833,44.92667
LFKC,8.79306,42.52028
LE__,-4.65889,43.17556
LE__,-4.07000,40.02500
LFQI,3.15222,50.21917
LFYG,3.26500,50.14250
EGSC,0.17500,52.20500
LIMN,8.66528,45.53111
LF__,-1.10417,43.51000
GLD,-1.73028,53.30472
LF__,-0.02222,44.43639
LI__,12.15556,45.08278
LE__,-3.26944,41.22861
LF__,2.68278,44.09222
LFMD,6.95417,43.54639
LI__,8.03444,44.90667
LI__,12.94389,45.63945
LE__,-4.51944,40.89972
LF__,-0.00528,43.86139
LI__,10.85250,44.70389
LE__,0.40056,42.41222
LI__,12.57528,45.56445
LI__,12.05583,45.31722
LF__,6.84306,49.07444
LI__,11.97556,45.55611
LIAU,14.17806,41.11583
LFMK,2.30861,43.21583
LF__,1.25083,44.96695
EGFF,-3.34333,51.39667
LE__,1.61167,41.88861
EGNC,-2.80917,54.93750
GLD,-1.20500,54.41000
LI__,13.13028,46.37611
LFNH,5.08417,44.02778
LIDU,10.87167,44.83500
LI__,7.90917,45.35278
LI__,8.41833,40.50250
LI__,9.64583,45.48333
LI__,10.46583,45.51333
LILM,8.45611,45.11111
LI__,8.52528,45.49055
LI__,8.61889,45.70694
LI__,7.56111,44.88278
LE__,0.48083,42.52333
LKCV,15.38250,49.93917
LF__,0.63778,44.69917
LF__,0.45528,44.41167
LI__,8.89972,45.53194
LE__,-4.02639,40.23500
LFIG,2.51806,44.17944
LI__,11.80639,45.74222
LI__,7.63250,44.43444
LFCK,2.29056,43.55500
LFDQ,0.52111,43.27945
GLD,4.62389,52.53667
LFCX,1.12778,44.08694
LFMW,1.92028,43.31222
LI__,10.73972,44.68528
LE__,2.10083,41.58167
EG__,1.00083,51.29278
LF__,0.72500,44.10556
LI__,11.51667,46.28333
LI__,13.04750,46.37583
LI__,10.37972,45.32778
LF__,1.73250,44.22306
LFBC,-1.12583,44.53361
LF__,-0.30778,43.75583
LF__,0.29583,44.01111
LFJH,1.05028,43.20222
LDZC,16.66361,45.74972
LI__,11.39111,45.60000
LI__,13.55778,42.05167
LJCL,15.22306,46.24556
EDVC,10.11222,52.68778
ETHC,10.02222,52.59111
LI__,13.10833,42.05083
LI__,10.36194,46.42778
LJ__,13.78333,46.03528
LF__,5.55000,43.85305
EBCF,4.38722,50.15278
LJCE,15.53139,45.89972
LD__,18.66694,45.17278
LF__,1.21250,48.38139
LKCL,16.66083,49.17750
LI__,10.58361,45.26472
LE__,1.25028,41.68778
LF__,6.44389,46.28695
LE__,-3.54361,41.23500
LI__,11.69833,45.39556
LI__,11.98278,46.05611
LKCE,14.56667,50.70945
LKCS,14.42750,48.94639
LK__,14.54639,50.64389
LK__,14.99917,50.67889
LF__,-0.78389,44.70222
LK__,16.45528,49.90972
LIPC,12.31750,44.22167
EPCE,17.76333,54.41611
LF__,1.34778,44.34778
LI__,7.62444,45.84500
LF__,3.01028,46.19000
LF__,3.71389,48.07889
LFIH,0.01611,45.26805
LFLH,4.81694,46.82833
LFQK,4.35278,48.90556
EGLJ,-1.08528,51.67445
LF__,-1.03028,46.40556
LFOK,4.20611,48.77333
LFLB,5.88000,45.63917
LFLE,5.97583,45.56055
GLD,12.65667,49.21167
LFJA,5.04750,48.08000
LF__,0.23667,47.46139
LF__,5.45000,45.25000
LF__,0.41917,46.18444
LFGX,5.82028,46.76445
LK__,15.05778,49.74833
LS__,1.05750,46.39333
LF__,3.02389,46.01361
EBCI,4.45278,50.46000
LFQV,4.64278,49.78500
LS__,7.16611,46.62222
LFOR,1.51972,48.45694
LK__,13.81056,50.43333
LF__,5.41083,48.46444
LFFU,2.37556,46.87028
LF__,2.83333,47.80278
LFOC,1.37944,48.05778
LFTQ,-1.18889,47.74028
LFQH,4.57944,47.84278
LFCA,0.55028,46.78278
LFLX,1.72111,46.86028
LFFH,3.35639,49.06722
LFEJ,1.62083,46.84111
LFSY,5.15139,48.07695
LF__,5.35222,47.57583
LFDW,0.64222,46.58333
LF__,0.61750,46.58389
LFPX,1.98028,48.84222
LF__,5.08306,45.01250
LF__,3.43417,47.49222
LF__,5.87583,49.02528
LF__,4.90500,47.21472
LF__,0.73611,45.22055
LF__,6.76056,48.13194
LKCB,12.41167,50.06611
LFPH,2.60694,48.89778
EDCJ,12.83722,50.74750
LF__,-0.01528,46.34694
LFRC,-1.47528,49.65083
LF__,4.76944,46.34167
LF__,0.68694,46.74528
EGHR,-0.75917,50.85944
EBCV,3.83111,50.57583
EB__,4.37000,50.03417
GLD,-2.62083,53.88611
EB__,4.28306,50.05833
EGDC,-4.15028,51.08722
EG__,-1.27694,52.14500
EGKE,0.82833,51.20861
LF__,6.28667,48.19056
LKCO,16.18972,49.97805
LFOU,-0.87722,47.08194
LKCH,13.46806,50.46889
LK__,15.53056,50.43389
LK__,13.19028,49.65167
LKCT,15.67611,49.68583
LZ__,18.19444,47.81389
LF__,1.23333,47.50778
LF__,3.13556,45.57555
LF__,3.36389,47.29083
LF__,1.06889,47.94917
LK__,14.46639,50.85778
LS__,7.12389,46.11778
LKCR,15.78056,49.93639
EGXG,-1.19556,53.83445
LF__,5.97861,45.36972
LI__,9.43333,45.60889
LF__,0.62917,43.06778
LE__,-4.28083,42.85139
LI__,12.46361,46.27139
LI__,10.14306,43.75195
LF__,6.86472,43.77945
LI__,8.99861,45.44944
EGSQ,1.13000,51.78500
LF__,0.40389,44.36195
LFJC,3.50778,47.43750
LF__,6.07167,44.31445
LF__,6.06722,45.02750
LF__,3.21111,49.75750
LFLC,3.16250,45.78583
LI__,9.96556,45.88722
LI__,9.98972,45.88361
LI__,8.21389,45.53194
EDQC,10.99583,50.26250
EDQY,10.99528,50.23056
LI__,12.06806,45.29556
LI__,12.10667,44.80639
LI__,12.45667,45.85305
LI__,12.93056,45.99944
LFXQ,-2.18194,47.94389
LF__,-0.25917,48.29000
LF__,6.54417,43.25750
LFBG,-0.31750,45.65833
LF__,3.78861,45.68111
LF__,5.16917,44.85333
ETOR,8.46333,49.56361
EGUO,-2.28000,51.44083
LF__,4.91500,48.27945
LI__,12.16167,46.76500
LI__,9.42167,46.16333
LFGA,7.35917,48.11028
LE__,-3.76333,40.69750
LFSC,7.39972,47.92194
LF__,2.57417,46.67889
EGYC,1.35778,52.75472
LI__,12.65667,45.99500
LF__,0.35500,48.31556
LI__,9.06944,45.81472
LFAD,2.80167,49.43222
EGHA,-2.15361,50.96722
LF__,3.45111,45.56194
LFAN,-0.50250,48.89167
LFID,0.38639,43.91028
LF__,0.66667,46.02472
LI__,12.25778,45.93056
EGXC,-0.16583,53.09306
LI__,10.73333,43.11666
LF__,0.91472,44.47917
LF__,3.85444,49.45722
LI__,12.34389,42.38306
LI__,13.84194,42.11000
LFJD,5.49639,46.03972
LF__,-0.84944,45.62028
LF__,2.73028,42.69083
